"195.18.83.194" "pool-68-236-143-240.alb.east.verizon.net"
"68.189.52.36" "perseus.demon.nl"
"24.15.146.172" "cpe-24-197-114-201.spa.sc.charter.com"
"65.114.207.226" "pcp08333823pcs.gambrl01.md.comcast.net"
"24.152.170.226" "pool-141-150-183-16.atc.east.verizon.net"
"24.144.69.247" "cache04.nyc.untd.com"
"68.190.55.247" "h000393e687c9.ne.client2.attbi.com"
"65.3.13.9" "cache05.nyc.untd.com"
"217.165.71.4" "66-90-232-204.dyn.grandenetworks.net"
"138.88.0.246" "archon-216-68-45-115.fuse.net"
"12.73.179.213" "adsl-66-216-153-053.dejazzd.com"
"63.206.192.210" "182.22.33.65.cfl.rr.com"
"213.73.210.224" "cache-ntc-ac11.proxy.aol.com"
"205.188.116.196" "67-41-232-41.slkc.qwest.net"
"24.160.242.68" "pool-138-89-94-67.mad.east.verizon.net"
"65.238.191.225" "p62fb3d.hkidnt01.ap.so-net.ne.jp"
"203.220.235.105" "p450-tnt1.brs.ihug.com.au"
"64.80.168.92" "dsc01-mil-fl-199-183-199-35.rasserver.net"
"66.33.192.50" "66-194-6-75.gen.twtelecom.net"
"149.68.172.76" "cpe-66-75-218-176.bak.rr.com"
"148.134.37.3" "modemcable112.50-201-24.mc.videotron.ca"
"202.189.108.38" "pcp02890973pcs.catonv01.md.comcast.net"
"61.2.40.87" "cable1-stm-120.gmpexpress.net"
"65.121.85.3" "rink.dreamhost.com"
"216.129.225.97" "ip68-106-5-251.ph.ph.cox.net"
"213.154.88.123" "c-24-5-219-105.client.comcast.net"
"152.34.203.10" "PC05rci34.lan.apa.at"
"66.30.67.89" "lax-gate1.raytheon.com"
"81.154.138.242" "dial-r7-29.novocon.net"
"68.2.227.155" "ga-cmng-cuda1-c6b-4.atlaga.adelphia.net"
"62.253.128.7" "server.agiml.net"
"62.188.110.88" "Gd48c.g.pppool.de"
"210.86.82.113" "adsl-68-122-183-37.dsl.scrm01.pacbell.net"
"65.241.112.166" "c-24-99-54-215.atl.client2.attbi.com"
"68.54.174.227" "dialup-4.244.63.193.Dial1.StLouis1.Level3.net"
"80.132.211.205" "h-69-3-235-32.snfccasy.dynamic.covad.net"
"145.53.37.239" "68-190-55-247.cpe.ga.charter.com"
"213.73.82.31" "1Cust33.tnt2.sylvania.oh.da.uu.net"
"62.254.0.36" "lsanca1-ar58-4-7-065-228.lsanca1.dsl-verizon.net"
"219.93.8.8" "cache-ntc-aa11.proxy.aol.com"
"4.7.65.228" "kf-mss-cb01-0031.dial.kabelfoon.nl"
"81.197.129.33" "ip913525ef.speed.planet.nl"
"194.232.123.76" "cs679138-70.austin.rr.com"
"206.40.101.186" "user-0c90hfn.cable.mindspring.com"
"66.75.218.176" "user-2ini821.dialup.mindspring.com"
"69.10.144.111" "dialup-105.235.220.203.acc01-mcmi-dwn.comindico.com.au"
"67.41.232.41" "bgp961397bgs.derbrn01.mi.comcast.net"
"24.221.139.167" "162-42-1-67.cybertrails.com"
"62.220.103.6" "66-194-6-80.gen.twtelecom.net"
"152.163.253.37" "p5084D3CD.dip.t-dialin.net"
"69.3.235.32" "cache-dtc-ab15.proxy.aol.com"
"81.240.51.8" "ACC4E1AD.ipt.aol.com"
"162.84.254.42" "ts1-ildhlg156.hamiltoncom.net"
"63.147.51.120" "ip68-0-101-204.tu.ok.cox.net"
"213.54.154.208" "px7wh.vc.shawcable.net"
"212.179.203.110" "91-216.205.150.dellhost.com"
"165.121.32.65" "adsl-68-89-188-62.dsl.hstntx.swbell.net"
"12.175.0.35" "office1.giftservices.com"
"142.16.22.18" "c66.190.58.227.jvl.wi.charter.com"
"66.185.84.70" "ip68-98-90-28.ph.ph.cox.net"
"12.73.152.14" "host-208-60-224-21.owb.bellsouth.net"
"63.247.129.86" "cache-ntc-ac07.proxy.aol.com"
"68.234.24.229" "69-167-149-70.vnnyca.adelphia.net"
"66.190.58.227" "syr-68-175-132-157.twcny.rr.com"
"219.197.252.105" "user-uini6r5.dialup.mindspring.com"
"24.69.255.236" "wc03.wlfdle.rnc.net.cable.rogers.com"
"131.179.64.177" "CPE-24-31-230-183.kc.rr.com"
"198.81.26.78" "cache-ntc-aa10.proxy.aol.com"
"198.81.26.80" "dialup-ppp034.foggy.net"
"198.81.26.76" "pfarrell.mccooknet.com"
"66.194.6.79" "c-67-165-19-42.client.comcast.net"
"213.42.2.22" "pcp09453476pcs.eatntn01.nj.comcast.net"
"66.166.132.189" "66-194-6-77.gen.twtelecom.net"
"66.194.6.77" "210-86-82-113.jetstream.xtra.co.nz"
"24.129.221.60" "host156-64.pool8175.interbusiness.it"
"66.194.6.74" "pool-138-88-0-246.res.east.verizon.net"
"66.194.6.73" "host157-64.pool8175.interbusiness.it"
"208.60.224.21" "c-24-126-237-1.we.client2.attbi.com"
"24.122.22.235" "de12798.alshamil.net.ae"
"218.214.133.163" "cache8-nott.server.ntli.net"
"64.246.26.52" "70.drprsdpat.alliant.edu"
"62.45.156.32" "pcp04058295pcs.wbrmfd01.mi.comcast.net"
"81.249.244.109" "dialup-4.239.183.236.Dial1.Philadelphia1.Level3.net"
"209.204.141.231" "8-51.240.81.adsl.skynet.be"
"66.216.153.53" "host211-12.pool80182.interbusiness.it"
"24.107.133.232" "YahooBB219197252105.bbtec.net"
"141.150.183.16" "h1951883194.dsl.speedlinq.nl"
"68.236.143.240" "fl-sdade-bw-i-229.atlaga.adelphia.net"
"24.218.79.139" "StJerome-ppp18832.qc.sympatico.ca"
"129.29.227.2" "adsl-64-168-100-182.dsl.scrm01.pacbell.net"
"68.41.88.142" "246.236.186.195.cust.bluewin.ch"
"67.165.19.42" "1Cust201.tnt1.hershey.pa.da.uu.net"
"80.56.105.22" "pcp027098pcs.whtmrs01.md.comcast.net"
"67.200.138.201" "rs-64-246-50-15.ev1.net"
"4.244.21.77" "cache-ntc-ac09.proxy.aol.com"
"217.76.159.99" "h-66-166-132-189.dnvtco56.covad.net"
"216.205.150.91" "S01060080c6f1ebc1.va.shawcable.net"
"68.0.101.204" "h69-10-144-111.n-01.net"
"66.26.188.45" "12-223-95-172.client.insightbb.com"
"24.99.54.215" "cache-rp05.proxy.aol.com"
"64.246.50.15" "AC9535FA.ipt.aol.com"
"65.17.135.190" "c-24-4-126-89.client.comcast.net"
"172.188.100.137" "dialup-4.155.36.136.Dial1.Baltimore1.Level3.net"
"64.12.117.5" "ip503cfb60.speed.planet.nl"
"212.194.153.28" "P-5.184.EUnet.yu"
"192.76.183.70" "gen031.n002.c03.escapebox.net"
"68.49.42.229" "CPE0080c6ebe07e-CM400049372468.cpe.net.cable.rogers.com"
"216.68.45.115" "c-24-129-221-60.se.client2.attbi.com"
"205.231.146.40" "h00402b6e6305.ne.client2.attbi.com"
"24.201.50.112" "66-194-6-73.gen.twtelecom.net"
"24.101.138.139" "cache-rf01.proxy.aol.com"
"211.76.240.245" "sv-fw.looksmart.com"
"68.89.188.62" "c81-197-129-33.elisa-laajakaista.fi"
"138.89.94.67" "216-129-225-97.vnet-inc.com"
"67.69.36.198" "ppp-67-121-239-21.dsl.chic01.pacbell.net"
"81.77.74.77" "adsl-64-171-6-188.dsl.sntc01.pacbell.net"
"12.27.255.133" "dialup-4.244.21.77.Dial1.StLouis1.Level3.net"
"162.42.1.67" "22-235.tr.cgocable.ca"
